timestamp,container,cpu_pct,mem_usage,mem_pct
1774952886,ads_orm_api,98.33%,28.09MiB / 13.58GiB,0.20%
1774952886,ads_postgres,170.60%,161.1MiB / 13.58GiB,1.16%
1774952890,ads_orm_api,102.58%,44.2MiB / 13.58GiB,0.32%
1774952890,ads_postgres,159.24%,162.6MiB / 13.58GiB,1.17%
1774952894,ads_orm_api,95.26%,60.08MiB / 13.58GiB,0.43%
1774952894,ads_postgres,148.35%,154.5MiB / 13.58GiB,1.11%
1774952898,ads_orm_api,75.88%,61.74MiB / 13.58GiB,0.44%
1774952898,ads_postgres,117.19%,122.2MiB / 13.58GiB,0.88%
1774952902,ads_orm_api,74.19%,62.09MiB / 13.58GiB,0.45%
1774952902,ads_postgres,127.84%,121.3MiB / 13.58GiB,0.87%
1774952906,ads_orm_api,67.30%,61.95MiB / 13.58GiB,0.45%
1774952906,ads_postgres,117.50%,120.9MiB / 13.58GiB,0.87%
1774952910,ads_orm_api,68.24%,61.82MiB / 13.58GiB,0.44%
1774952910,ads_postgres,104.72%,120.8MiB / 13.58GiB,0.87%
1774952914,ads_orm_api,67.91%,62.01MiB / 13.58GiB,0.45%
1774952914,ads_postgres,103.72%,121.8MiB / 13.58GiB,0.88%
1774952918,ads_orm_api,70.16%,62.18MiB / 13.58GiB,0.45%
1774952918,ads_postgres,107.90%,120.9MiB / 13.58GiB,0.87%
1774952922,ads_orm_api,61.85%,62.18MiB / 13.58GiB,0.45%
1774952922,ads_postgres,94.63%,121.2MiB / 13.58GiB,0.87%
1774952926,ads_orm_api,71.80%,62.42MiB / 13.58GiB,0.45%
1774952926,ads_postgres,101.96%,121.6MiB / 13.58GiB,0.87%
1774952930,ads_orm_api,66.60%,62.55MiB / 13.58GiB,0.45%
1774952930,ads_postgres,103.98%,121.2MiB / 13.58GiB,0.87%
1774952934,ads_orm_api,63.97%,62.32MiB / 13.58GiB,0.45%
1774952934,ads_postgres,108.91%,121.4MiB / 13.58GiB,0.87%
1774952938,ads_orm_api,64.86%,62.77MiB / 13.58GiB,0.45%
1774952938,ads_postgres,92.38%,121.9MiB / 13.58GiB,0.88%
1774952942,ads_orm_api,68.17%,62.65MiB / 13.58GiB,0.45%
1774952942,ads_postgres,101.07%,121.3MiB / 13.58GiB,0.87%
1774952946,ads_orm_api,72.11%,62.48MiB / 13.58GiB,0.45%
1774952946,ads_postgres,115.50%,121.5MiB / 13.58GiB,0.87%
1774952950,ads_orm_api,64.00%,62.55MiB / 13.58GiB,0.45%
1774952950,ads_postgres,91.21%,122MiB / 13.58GiB,0.88%
1774952954,ads_orm_api,72.91%,62.79MiB / 13.58GiB,0.45%
1774952954,ads_postgres,112.87%,121.2MiB / 13.58GiB,0.87%
1774952958,ads_orm_api,84.34%,63.45MiB / 13.58GiB,0.46%
1774952958,ads_postgres,121.62%,121.4MiB / 13.58GiB,0.87%
1774952962,ads_orm_api,74.41%,62.84MiB / 13.58GiB,0.45%
1774952962,ads_postgres,109.11%,121.5MiB / 13.58GiB,0.87%
1774952966,ads_orm_api,78.86%,62.71MiB / 13.58GiB,0.45%
1774952966,ads_postgres,130.72%,121.5MiB / 13.58GiB,0.87%
1774952970,ads_orm_api,64.85%,62.76MiB / 13.58GiB,0.45%
1774952970,ads_postgres,93.05%,122MiB / 13.58GiB,0.88%
1774952974,ads_orm_api,72.83%,62.03MiB / 13.58GiB,0.45%
1774952974,ads_postgres,111.56%,121.7MiB / 13.58GiB,0.88%
1774952978,ads_orm_api,72.73%,63.41MiB / 13.58GiB,0.46%
1774952978,ads_postgres,124.89%,121.6MiB / 13.58GiB,0.87%
1774952982,ads_orm_api,70.06%,63.19MiB / 13.58GiB,0.45%
1774952982,ads_postgres,109.01%,121.5MiB / 13.58GiB,0.87%
1774952986,ads_orm_api,63.32%,62.54MiB / 13.58GiB,0.45%
1774952986,ads_postgres,106.13%,121.6MiB / 13.58GiB,0.87%
1774952990,ads_orm_api,64.65%,63.03MiB / 13.58GiB,0.45%
1774952990,ads_postgres,103.59%,121.7MiB / 13.58GiB,0.88%
1774952994,ads_orm_api,65.15%,62.34MiB / 13.58GiB,0.45%
1774952994,ads_postgres,94.82%,121.8MiB / 13.58GiB,0.88%
1774952998,ads_orm_api,66.60%,63.34MiB / 13.58GiB,0.46%
1774952998,ads_postgres,103.49%,121.8MiB / 13.58GiB,0.88%
1774953002,ads_orm_api,65.00%,64.28MiB / 13.58GiB,0.46%
1774953002,ads_postgres,111.36%,121.7MiB / 13.58GiB,0.88%
1774953006,ads_orm_api,69.13%,62.75MiB / 13.58GiB,0.45%
1774953006,ads_postgres,115.33%,121.4MiB / 13.58GiB,0.87%
1774953010,ads_orm_api,69.34%,63.85MiB / 13.58GiB,0.46%
1774953010,ads_postgres,103.05%,121.6MiB / 13.58GiB,0.87%
1774953014,ads_orm_api,67.75%,63.51MiB / 13.58GiB,0.46%
1774953014,ads_postgres,102.72%,121.6MiB / 13.58GiB,0.87%
1774953018,ads_orm_api,71.60%,62.02MiB / 13.58GiB,0.45%
1774953018,ads_postgres,116.51%,121.3MiB / 13.58GiB,0.87%
1774953022,ads_orm_api,70.77%,62.08MiB / 13.58GiB,0.45%
1774953022,ads_postgres,101.85%,121.1MiB / 13.58GiB,0.87%
1774953026,ads_orm_api,73.43%,62.26MiB / 13.58GiB,0.45%
1774953026,ads_postgres,105.08%,121.8MiB / 13.58GiB,0.88%
1774953031,ads_orm_api,73.64%,62.51MiB / 13.58GiB,0.45%
1774953031,ads_postgres,115.97%,122.4MiB / 13.58GiB,0.88%
1774953035,ads_orm_api,67.24%,63.07MiB / 13.58GiB,0.45%
1774953035,ads_postgres,106.83%,121.4MiB / 13.58GiB,0.87%
1774953039,ads_orm_api,69.16%,62.99MiB / 13.58GiB,0.45%
1774953039,ads_postgres,107.53%,121.4MiB / 13.58GiB,0.87%
1774953043,ads_orm_api,71.01%,62.91MiB / 13.58GiB,0.45%
1774953043,ads_postgres,119.50%,123MiB / 13.58GiB,0.88%
1774953047,ads_orm_api,73.93%,63.64MiB / 13.58GiB,0.46%
1774953047,ads_postgres,118.31%,121.5MiB / 13.58GiB,0.87%
1774953051,ads_orm_api,68.19%,63.18MiB / 13.58GiB,0.45%
1774953051,ads_postgres,104.70%,121.6MiB / 13.58GiB,0.87%
1774953055,ads_orm_api,88.66%,63.62MiB / 13.58GiB,0.46%
1774953055,ads_postgres,133.48%,121.7MiB / 13.58GiB,0.88%
1774953059,ads_orm_api,77.32%,63.43MiB / 13.58GiB,0.46%
1774953059,ads_postgres,120.43%,121.8MiB / 13.58GiB,0.88%
1774953063,ads_orm_api,75.24%,63.64MiB / 13.58GiB,0.46%
1774953063,ads_postgres,105.15%,122.1MiB / 13.58GiB,0.88%
1774953067,ads_orm_api,81.39%,62.53MiB / 13.58GiB,0.45%
1774953067,ads_postgres,144.45%,121.9MiB / 13.58GiB,0.88%
1774953071,ads_orm_api,103.02%,63.76MiB / 13.58GiB,0.46%
1774953071,ads_postgres,192.80%,122.4MiB / 13.58GiB,0.88%
1774953075,ads_orm_api,74.00%,62.38MiB / 13.58GiB,0.45%
1774953075,ads_postgres,107.88%,122MiB / 13.58GiB,0.88%
1774953080,ads_orm_api,83.43%,63.82MiB / 13.58GiB,0.46%
1774953080,ads_postgres,155.50%,122.6MiB / 13.58GiB,0.88%
1774953085,ads_orm_api,84.63%,63.25MiB / 13.58GiB,0.45%
1774953085,ads_postgres,290.64%,122.1MiB / 13.58GiB,0.88%
1774953090,ads_orm_api,75.55%,62.99MiB / 13.58GiB,0.45%
1774953090,ads_postgres,123.82%,121.8MiB / 13.58GiB,0.88%
1774953095,ads_orm_api,66.83%,62.97MiB / 13.58GiB,0.45%
1774953095,ads_postgres,118.08%,122.2MiB / 13.58GiB,0.88%
1774953100,ads_orm_api,81.98%,63.16MiB / 13.58GiB,0.45%
1774953100,ads_postgres,146.81%,122.5MiB / 13.58GiB,0.88%
1774953103,ads_orm_api,63.15%,63.41MiB / 13.58GiB,0.46%
1774953103,ads_postgres,93.86%,122.2MiB / 13.58GiB,0.88%
1774953108,ads_orm_api,62.96%,63.49MiB / 13.58GiB,0.46%
1774953108,ads_postgres,88.94%,122.4MiB / 13.58GiB,0.88%
1774953112,ads_orm_api,67.67%,63.07MiB / 13.58GiB,0.45%
1774953112,ads_postgres,111.00%,122.3MiB / 13.58GiB,0.88%
1774953116,ads_orm_api,81.19%,63.5MiB / 13.58GiB,0.46%
1774953116,ads_postgres,132.53%,122.2MiB / 13.58GiB,0.88%
1774953120,ads_orm_api,72.35%,63.28MiB / 13.58GiB,0.46%
1774953120,ads_postgres,115.21%,122.1MiB / 13.58GiB,0.88%
1774953124,ads_orm_api,70.19%,63.67MiB / 13.58GiB,0.46%
1774953124,ads_postgres,125.98%,121.8MiB / 13.58GiB,0.88%
1774953128,ads_orm_api,62.26%,62.34MiB / 13.58GiB,0.45%
1774953128,ads_postgres,90.42%,122MiB / 13.58GiB,0.88%
1774953132,ads_orm_api,62.99%,63.21MiB / 13.58GiB,0.45%
1774953132,ads_postgres,90.15%,122.3MiB / 13.58GiB,0.88%
1774953136,ads_orm_api,67.99%,63.49MiB / 13.58GiB,0.46%
1774953136,ads_postgres,109.07%,122.1MiB / 13.58GiB,0.88%
1774953140,ads_orm_api,73.83%,63.91MiB / 13.58GiB,0.46%
1774953140,ads_postgres,118.36%,122.6MiB / 13.58GiB,0.88%
1774953144,ads_orm_api,75.67%,63.7MiB / 13.58GiB,0.46%
1774953144,ads_postgres,115.03%,122.1MiB / 13.58GiB,0.88%
1774953148,ads_orm_api,73.22%,63.82MiB / 13.58GiB,0.46%
1774953148,ads_postgres,118.07%,123.3MiB / 13.58GiB,0.89%
1774953152,ads_orm_api,68.38%,64.11MiB / 13.58GiB,0.46%
1774953152,ads_postgres,96.65%,122.9MiB / 13.58GiB,0.88%
1774953156,ads_orm_api,71.25%,62.66MiB / 13.58GiB,0.45%
1774953156,ads_postgres,107.12%,122.4MiB / 13.58GiB,0.88%
1774953160,ads_orm_api,73.06%,63.01MiB / 13.58GiB,0.45%
1774953160,ads_postgres,113.89%,122.5MiB / 13.58GiB,0.88%
1774953164,ads_orm_api,65.59%,63.99MiB / 13.58GiB,0.46%
1774953164,ads_postgres,99.14%,121.8MiB / 13.58GiB,0.88%
1774953168,ads_orm_api,63.30%,64.25MiB / 13.58GiB,0.46%
1774953168,ads_postgres,87.87%,122.2MiB / 13.58GiB,0.88%
1774953172,ads_orm_api,65.80%,63.64MiB / 13.58GiB,0.46%
1774953172,ads_postgres,104.13%,121.9MiB / 13.58GiB,0.88%
1774953176,ads_orm_api,63.23%,63MiB / 13.58GiB,0.45%
1774953176,ads_postgres,92.26%,122MiB / 13.58GiB,0.88%
1774953180,ads_orm_api,65.86%,63.08MiB / 13.58GiB,0.45%
1774953180,ads_postgres,95.08%,122.4MiB / 13.58GiB,0.88%
1774953184,ads_orm_api,59.36%,63.66MiB / 13.58GiB,0.46%
1774953184,ads_postgres,84.30%,121.6MiB / 13.58GiB,0.87%
1774953188,ads_orm_api,0.56%,62.81MiB / 13.58GiB,0.45%
1774953188,ads_postgres,0.01%,121.7MiB / 13.58GiB,0.88%
